Abasement,humiliation; degradation
Quaint,picturesque
Quandary,dilemma; puzzle
Quarantine,isolation to prevent the spread of disease
Quarry,1. something that is hunted; 2. mine for stone
Querulous,always complaining
Quintessential,most typical; the perfect example of [quintessence (n)]
Quirk,oddity
Raconteur,person who relates a story
Ramble,wander aimlessly
Ramifications,branches; subdivisions of a complex system; outcomes
Rancor,resentment; animosity; bad feeling
Rant,use bombastic language
Rarefy,make less dense [rarefaction (n)]
Ratify,approve; consent
Raucous,rough and unpleasant (of sounds)
Raze,destroy; demolish; tear down
Rebus,puzzle in which pictures give clues
Rebuttal,denial
Recant,disclaim; retract statement
Recapitulate,summarize
Receptacle,container; vessel; holder
Recluse,someone who cuts himself off from life
Recondite,obscure
Recumbent,reclining; lying down
Recuperate,get better after illness
Red tape,formalities; paperwork; official procedure
Redolent,smelling of; giving off odors
Redress,put right something that was wrong
Redundant,unnecessary; superfluous
Referendum,public vote
Refulgent,glowing; radiant
Refute,disprove
Regale,entertain
Relegate,dismiss to a lower position
Remorse,regret; sorrow; contrition
Remuneration,payment for work done
Renown,fame
Rent,torn (past participle of the verb to rend)
Repine,fret; be discontented
Replete,full
Reprehensible,shameful; very bad
Reprieve,a respite; postponement of a sentence
Reproof,scolding; criticism [reprove (v)]
Repudiate,shun; eschew
Rescind,retract; repeal
Resignation,acceptance of fate
Resolution,determination
Resonant,echoing
Respite,a break; intermission
Resplendent,shining; glowing
Restorative,a tonic
Retention,preservation; withholding
Reticent,restrained; holding something back; uncommunicative
Retraction,withdrawal; cancellation of a statement
Revere,worship
Riddled,full of (usually full of holes)
Rife,common
Rigor,thoroughness
Robust,strong; healthy; tough
Rotund,round
Ruminate,think over something; ponder
Runic,mysterious; magical
Ruse,trick; stratagem
Saccharin,falsely sweet
Sacrosanct,very holy; inviolable
Sagacious,wise
Sage,a wise person
Salacious,lecherous; erotic
Sallow,yellowish
Salubrious,health-giving
Salutary,something which teaches you a lesson; beneficial
Sanctimonious,hypocritically holy
Sanction,give approval to
Sanguinary,bloodthirsty; bloody
Sanguine,optimistic; cheerful
Sardonic,mocking
Satiate,satisfy; fill completely [satiable (a); satiation (n)]
Savant,person with knowledge
Scale,to climb
Scapegoat,person on whom blame is placed for faults of others
Scrupulous,careful; diligent; painstaking
Scrutinize,examine carefully
Scurvy,1. disease due to lack of vitamin C; 2. contemptible; rascally
Scuttle,sink
Sedulous,persevering; eager and thorough	
Seminary,an institution in which priests are trained
Sensuous,appealing to the senses
Sentinel,guard; sentry
Sequester,isolate
Sere,withered; old
Serendipity,fortunate coincidence; unsought discovery
Serene,calm; peaceful
Serrated,jagged; saw-like
Servile,overly submissive; groveling
Shard,fragment of pottery
Sidereal,of or related to stars
Sinecure,job which pays salary but requiring little effort
Skeptical,doubting; not gullible
Skirmish,minor battle
Slake,quench; satisfy
Slew,glut; excess
Sluggard,slow-moving; lethargic person
Smelt,refine an ore
Smorgasbord,a Swedish buffet of cold dishes
Solace,comfort for grief
Solicit,to ask for; seek
Solicitous,kindly; expressing care and concern
Somnambulist,sleepwalker
Soothsayer,fortuneteller
Staunch,loyal; faithful; dependable
Stereotype,fixed image
Stevedore,dockworker
Stifle,suppress
Stipulate,specify [stipulation (n)]
Stoic,known for fortitude; indifferent to pleasure or pain
Stoke,add fuel to; strengthen
Stolid,impassive; dull; indifferent
Stratagem,plot; plan; trick
Strident,loud and harsh
Stringent,strict or severe
Strut,swagger; show off
Stupefying,astonishing; shocking; stunning into silence
Stygian,very dark
Subliminal,below the threshold of consciousness
Suborn,bribe
Subpoena,summons to court
Substantiate,give supporting evidence
Subterfuge,a trick
Subtle,not obvious
Subversive,rebellious; revolutionary
Succinct,concise
Suffragist,someone who campaigns for voting rights
Supercilious,proud and haughty
Superlative,extremely good; the best
Surly,grumpy; rude
Surreptitious,secret; sneaky; stealthy
Surreptitiously,secretly; furtively; stealthily
Susceptible,vulnerable
Suspect,doubtful
Sybarite,lover of luxury
Sycophant,bootlicker; flatterer
Syllogism,type of logical reasoning
Taciturn,quiet; saying little
Tactile,concerned with the sense of touch
Talisman,lucky charm
Tangent,going off the main subject
Tangible,can be touched
Tardy,slow; late; overdue; delayed
Tawdry,of little value; gaudy
Tedium,boredom
Temper,to moderate; soften
Tenacious,stubborn; resolute; holding firm to a purpose
Tendentious,dogmatic; biased
Tentative,not certain
Tenuous,flimsy; not solid
Terse,concise; to the point
Therapeutic,medicinal; curative
Thwart,prevent; frustrate
Timorous,cowardly; fearful
Tirade,stream of verbal abuse
Titter,giggle quietly
Toady,sycophant; flatterer
Tome,large book
Torpid,inactive; lazy; stagnant
Torpor,dormancy; sluggishness; inactivity
Torrid,hot and steamy
Tortuous,indirect; winding
Totter,walk unsteadily
Tractable,obedient; dutiful; polite
Tranquil,peaceful
Transcribe,copy
Transgress,go astray; disobey; commit a sin
Transient,short-lived; ephemeral
Traverse,to move across
Trepidation,fear
Trinket,something of little value; knick-knack
Trite,unoriginal; dull
Trivial,unimportant
Truant,shirker; someone absent without permission
Truncate,cut short
Tumult,uproar; noise
Turpitude,depravity
Tutelary,serving as a guardian [tutelage (n)]
Tyro,novice; beginner
Ubiquitous,found everywhere; omnipresent
Unalloyed,undiluted; total
Unctuous,oily; using excessive flattery
Undergird,support; strengthen
Undermined,damaged; attacked
Underscore,emphasize
Unequivocal,clear; obvious
Unfetter,set free
Unfrock,to remove a priest from his position
Unprecedented,never having happened before
Unscathed,unharmed; intact; without a scratch
Unwitting,not deliberate; unconscious
Upbraid,scold; tell off; reprimand
Uproarious,hilarious; hysterical; very funny
Upshot,outcome
Urbane,sophisticated; suave
Usurp,take someone's position (usually by force)
Utilitarian,useful
Utopian,a believer in an ideal world
Vacillate,waver; hesitate
Vacuous,empty; silly; meaningless
Vagrant,person wandering without a home
Vapid,dull; uninspiring
Variegated,multicolored; speckled
Vehemence,violence; fervor; forcefulness
Vehement,forceful
Veracious,true [veracity (n)]
Verbiage,excessive or meaningless wordiness
Vicissitude,unexpected change in fortune or circumstances
Vilification,blackening someone's name
Vindicate,prove right; remove blame
Virtuoso,an accomplished musician
Virulent,dangerous; harmful
Vital,essential; alive; important
Vitiate,weaken; sap energy
Vitriolic,corrosive; strongly attacking
Vivacity,liveliness; animation
Vivify,enliven
Vociferous,noisy; loud in speech
Volatile,dangerously unstable; evaporates easily
Voluble,talkative
Voluminous,very large; spacious
Voracious,ravenous
Vulpine,"like a fox [compare with bovine (cow-like); porcine (pig-like), etc.]"
Waive,surrender; give up
Wane,grow less
Wary,hesitant; cautious
Wax,to increase; to grow
Waylay,accost; stop; approach; hinder
Weighty,serious
Whelp,young dog
Whet,sharpen
Whimsical,capricious; changeable
Willful,stubborn
Wily,cunning
Wispy,flimsy; frail; delicate
Wistful,melancholy; pensive; expressing a longing for
Xenophobe,person afraid of foreigners
Zany,crazy; wacky
Zeal,enthusiasm
Zealot,fanatic
Zenith,summit
